0.000000000000000e+000	0.000000e+000
2.859647635588290e-007	4.289471e-004
5.719295271176580e-007	8.578943e-004
8.578942906764870e-007	1.286841e-003
1.143859054235316e-006	1.715788e-003
1.429823817794145e-006	2.144736e-003
1.715788581352974e-006	2.573683e-003
2.001753344911802e-006	3.002630e-003
2.244520784994559e-006	3.366780e-003
2.384651885490530e-006	3.576977e-003
2.477683931161700e-006	3.716525e-003
2.553539247735911e-006	3.830308e-003
2.630779241597423e-006	3.946168e-003
2.725421399946149e-006	4.088131e-003
2.811753883977827e-006	4.217629e-003
2.906574273195457e-006	4.359860e-003
2.995242097275627e-006	4.492862e-003
3.088790139694985e-006	4.633184e-003
3.178524580698543e-006	4.767785e-003
3.271198018438095e-006	4.906795e-003
3.361576187328544e-006	5.042362e-003
3.453746218896058e-006	5.180617e-003
3.544544624958611e-006	5.316814e-003
3.636442391145572e-006	5.454660e-003
3.727526984456889e-006	5.591287e-003
3.819294348627238e-006	5.728938e-003
3.910591046778329e-006	5.865883e-003
4.002328100079895e-006	6.003488e-003
4.093818317885100e-006	6.140723e-003
4.185631332345237e-006	6.278442e-003
4.277382511179012e-006	6.416069e-003
4.369470807663634e-006	6.554201e-003
4.461755652592325e-006	6.692628e-003
4.554639780426915e-006	6.831954e-003
4.648316954566833e-006	6.972469e-003
4.743527743924893e-006	7.115285e-003
4.841284586477456e-006	7.261920e-003
4.943734556373299e-006	7.415594e-003
5.054947501736826e-006	7.582413e-003
5.183625007058348e-006	7.775429e-003
5.358735004922009e-006	8.038093e-003
5.578906754875625e-006	8.368350e-003
5.837468067782846e-006	8.756190e-003
6.117913476084620e-006	9.176856e-003
6.552761397009352e-006	9.829124e-003
7.403985704477625e-006	1.110595e-002
9.106434319414171e-006	1.365960e-002
1.251133154928726e-005	1.876684e-002
1.932112600903344e-005	2.898122e-002
2.094119501667413e-005	3.141121e-002
2.418133303195549e-005	3.627107e-002
3.066160906251823e-005	4.599036e-002
4.362216112364370e-005	6.542704e-002
6.195778009558895e-005	9.292157e-002
6.439918634558895e-005	9.658201e-002
6.928199884558895e-005	1.039019e-001
7.904762384558895e-005	1.185404e-001
8.148903009558895e-005	1.221996e-001
8.759254572058896e-005	1.313468e-001
9.003395197058896e-005	1.350052e-001
9.613746759558896e-005	1.441506e-001
1.034616863455890e-004	1.551233e-001
1.071237957205890e-004	1.606088e-001
1.120066082205890e-004	1.679220e-001
1.132273113455890e-004	1.697502e-001
1.156687175955890e-004	1.734062e-001
1.205515300955890e-004	1.807178e-001
1.217722332205890e-004	1.825455e-001
1.242136394705890e-004	1.862006e-001
1.290964519705890e-004	1.935097e-001
1.388620769705890e-004	2.081233e-001
1.583933269705890e-004	2.373410e-001
1.608347332205890e-004	2.409920e-001
1.657175457205890e-004	2.482912e-001
1.754831707205890e-004	2.628868e-001
1.779245769705890e-004	2.665348e-001
1.828073894705890e-004	2.738293e-001
1.840280925955890e-004	2.756527e-001
1.864694988455890e-004	2.792990e-001
1.913523113455890e-004	2.865906e-001
1.925730144705890e-004	2.884133e-001
1.950144207205890e-004	2.920581e-001
1.998972332205890e-004	2.993467e-001
2.011179363455890e-004	3.011687e-001
2.035593425955890e-004	3.048119e-001
2.096628582205890e-004	3.139185e-001
2.169870769705890e-004	3.248423e-001
2.206491863455890e-004	3.303025e-001
2.267527019705890e-004	3.394008e-001
2.291941082205890e-004	3.430389e-001
2.340769207205890e-004	3.503138e-001
2.394651674449910e-004	3.583395e-001
2.449164874814076e-004	3.664566e-001
2.503221148251796e-004	3.745030e-001
2.553555698352120e-004	3.819926e-001
2.628924340451150e-004	3.932028e-001
2.699845992260857e-004	4.037466e-001
2.781908121869489e-004	4.159400e-001
2.871192262015364e-004	4.292005e-001
2.893513297051833e-004	4.325142e-001
2.938155367124770e-004	4.391396e-001
2.949315884643004e-004	4.407957e-001
2.971636919679473e-004	4.441070e-001
3.016278989752410e-004	4.507285e-001
3.027439507270644e-004	4.523836e-001
3.049760542307113e-004	4.556930e-001
3.094402612380050e-004	4.623106e-001
3.105563129898284e-004	4.639647e-001
3.127884164934753e-004	4.672720e-001
3.172526235007690e-004	4.738856e-001
3.183686752525924e-004	4.755387e-001
3.206007787562393e-004	4.788440e-001
3.250649857635330e-004	4.854534e-001
3.261810375153564e-004	4.871054e-001
3.284131410190033e-004	4.904086e-001
3.328773480262970e-004	4.970126e-001
3.418057620408845e-004	5.102158e-001
3.440378655445313e-004	5.135152e-001
3.485020725518251e-004	5.201104e-001
3.574304865664125e-004	5.332909e-001
3.752873145955875e-004	5.596318e-001
3.777287208455875e-004	5.632303e-001
3.826115333455875e-004	5.704213e-001
3.923771583455875e-004	5.847965e-001
3.948185645955875e-004	5.883883e-001
3.997013770955875e-004	5.955688e-001
4.009220802205875e-004	5.973634e-001
4.033634864705875e-004	6.009513e-001
4.082462989705875e-004	6.081256e-001
4.094670020955875e-004	6.099186e-001
4.119084083455875e-004	6.135034e-001
4.180119239705875e-004	6.224627e-001
4.265568458455875e-004	6.349954e-001
4.338810645955875e-004	6.457284e-001
4.375431739705874e-004	6.510915e-001
4.424259864705874e-004	6.582386e-001
4.477233689830828e-004	6.659883e-001
4.544160909748265e-004	6.757731e-001
4.597472054961477e-004	6.835621e-001
4.654085153549824e-004	6.918274e-001
4.729947189838776e-004	7.028942e-001
4.809747460086032e-004	7.145249e-001
4.898208350170744e-004	7.274043e-001
4.995581234515233e-004	7.415686e-001
5.019924455601355e-004	7.451067e-001
5.080782508316661e-004	7.539464e-001
5.165983782118089e-004	7.663095e-001
